#;Temperatura;T;C
#;Presion;P;kPa
#;Volumen especifico del liquido;Vl;m3/kg
#;Volumen especifico del vapor;Vv;m3/kg
#;Energia interna del liquido;ul;kJ/kg
#;Energia interna de evaporacion;uevap;kJ/kg
#;Energia interna del vapor;uv;kJ/kg
#;Entalpia del liquido;hl;kJ/kg
#;Entalpia de evaporacion;hevap;kJ/kg
#;Entalpia del vapor;hv;kJ/kg
#;Entropia del liquido;sl;kJ/(kg*K)
#;Entropia de evaporacion;sevap;kJ/(kg*K)
#;Entropia del vapor;sv;kJ/(kg*K)
34;863.11;0.0008536;0.023691;98.66;149.46;248.12;99.4;169.17;268.57;0.3667;0.55074;0.91743
35.51;900;0.000858;0.022683;100.83;148.01;24885;101.61;167.66;269.26;0.37377;0.54315;0.91692
36;912.35;0.0008595;0.022364;101.55;147.54;249.08;102.33;167.16;269.49;0.37609;0.54066;0.91675
37.48;950;0.0008641;0.021438;103.69;146.1;249.79;104.51;165.64;270.15;0.38301;0.53323;0.91624
38;963.68;0.0008657;0.021119;104.45;145.58;250.04;105.29;165.1;270.39;0.38548;0.53058;0.91606
39.37;1000;0.00087;0.020313;106.45;144.23;250.68;107.32;163.67;270.99;0.39189;0.52368;0.91558
40;1017.1;0.000872;0.019952;107.38;143.6;250.97;108.26;163;271.27;0.39486;0.52049;0.91536
42;1072.8;0.0008786;0.018855;110.32;141.58;251.89;111.26;160.86;272.12;0.40425;0.51039;0.91464
44;1130.7;0.0008854;0.017824;113.28;139.52;252.8;114.28;158.67;272.95;0.41363;0.50027;0.91391
46;1191;0.0008924;0.016853;116.26;137.42;253.68;117.32;156.43;273.75;0.42302;0.49012;91315
46.29;1200;0.0008934;0.016715;116.7;137.11;253.81;117.77;156.1;273.87;0.42441;0.48863;0.91303
48;1253.6;0.0008996;0.015939;119.26;135.29;254.55;120.39;154.14;274.53;0.43242;0.47993;0.91236
52;1386.2;0.000915;0.014265;125.33;130.88;256.21;126.59;149.39;275.98;0.45126;0.45941;0.91067
52.4;1400;0.0009166;0.014107;125.94;130.43;256.37;127.22;14890;276.12;0.45315;0.45734;0.9105
56;1529.1;0.0009317;0.012771;131.49;126.28;257.77;132.91;144.38;277.3;0.47018;43863;0.9088
57.88;1600;0.00094;0.012123;134.43;12404;258.47;13593;141.93;277.86;0.47911;0.42873;90784
60;1682.8;0.0009498;0.011434;137.76;121.46;259.22;139.36;139.1;278.46;0.4892;0.41749;0.90669
62.87;1800;0.0009639;0.010559;142.33;117.83;260.17;144.07;135.11;279.17;0.50294;0.40204;90498
65;1891;0.000975;0.00995;145.77;115.05;260.82;147.62;132.02;279.64;0.5132;0.39039;0.90359
67.45;2000;0.0009886;0.009288;149.78;111.73;261.51;151.76;128.33;280.09;0.52509;0.37675;0.90184
70;2118.2;0.0010037;0.008642;154.01;108.14;262.15;156.13;124.32;280.46;0.53755;0.36227;0.89982
75;2365.8;0.0010372;0.00748;162.53;100.6;263.13;164.98;115.85;280.82;0.56241;0.33272;0.89512
77.54;2500;0.0010566;0.006936;166.99;96.47;263.45;169.63;111.16;280.79;0.57531;0.31695;0.89226
80;2635.3;0.0010772;0.006436;171.4;92.23;263.63;174.24;106.35;280.59;0.588;0.30111;0.88912
85;2928.2;0.001127;0.005486;180.77;82.67;263.44;184.07;95.44;279.51;0.61473;0.26644;0.88117
86.16;3000;0.0011406;0.005275;183.04;80.22;263.26;186.46;92.63;279.09;0.62118;0.25776;0.87894
90;3246.9;0.0011932;0.004599;190.89;71.29;262.18;194.76;82.35;277.11;0.64336;0.22674;0.8701
95;3594.1;0.0012933;0.003726;202.4;56.47;258.87;207.05;65.21;272.26;0.67578;0.17711;0.85289
100;3975.1;0.0015269;0.00263;218.72;29.19;247.91;224.79;33.58;258.37;0.72217;0.08999;0.81215
